CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
59.693.110/0001-29;2025-12-31;1;ORANJEBTC S.A. - EDUCAÇÃO E INVESTIMENTO;027910;DFP;155642;2026-03-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155642
59.717.553/0001-02;2025-12-31;1;GRUPO MULTILASER S.A.;026034;DFP;155705;2026-03-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155705
59.789.545/0001-71;2025-12-31;1;POLPAR S.A.;013447;DFP;155465;2026-03-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155465
59.981.829/0001-65;2025-12-31;1;RODOBENS SA;025801;DFP;155796;2026-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155796
60.398.369/0004-79;2025-12-31;1;PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL;009393;DFP;155834;2026-03-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155834
60.444.437/0001-46;2025-12-31;1;LIGHT SERVICOS DE ELETRICIDADE S.A.;008036;DFP;155562;2026-03-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155562
60.476.884/0001-87;2025-12-31;1;MAHLE METAL LEVE S.A.;008575;DFP;155377;2026-03-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155377
60.537.263/0001-66;2025-12-31;1;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;024953;DFP;155071;2026-03-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155071
60.543.816/0001-93;2025-12-31;1;IGUATEMI S.A.;008672;DFP;154860;2026-02-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=154860
60.651.809/0001-05;2025-12-31;1;SUZANO HOLDING S.A.;009067;DFP;155470;2026-03-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155470
60.665.981/0001-18;2025-12-31;1;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S.A.;026867;DFP;155813;2026-03-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155813
60.730.348/0001-66;2025-12-31;1;CIA MELHORAMENTOS DE SAO PAULO;003654;DFP;155547;2026-03-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155547
60.746.948/0001-12;2025-12-31;1;BCO BRADESCO S.A.;000906;DFP;154611;2026-02-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=154611
60.746.948/0001-12;2025-12-31;2;BCO BRADESCO S.A.;000906;DFP;155703;2026-03-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155703
60.840.055/0001-31;2025-12-31;1;FLEURY S.A.;021881;DFP;155089;2026-03-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155089
