CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
42.500.384/0001-51;2026-03-31;2;SERENA ENERGIA S.A.;026441;ITR;157232;2026-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157232
42.644.220/0001-06;2026-03-31;1;ÁGUAS DO RIO 4 SPE S.A.;026743;ITR;156781;2026-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156781
42.737.954/0001-21;2026-03-31;1;INTER & CO, INC.;080217;ITR;156791;2026-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156791
43.283.811/0001-50;2026-03-31;1;KALUNGA S.A;025631;ITR;157628;2026-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157628
43.335.774/0001-86;2026-03-31;1;TRAVESSIA SECURITIZADORA DE CRÉDITOS MERCANTIS VI S.A.;026824;ITR;157370;2026-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157370
43.470.988/0001-65;2026-03-31;1;EVEN CONSTRUTORA E INCORPORADORA S.A.;020524;ITR;157383;2026-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157383
43.514.079/0001-81;2026-03-31;1;CLI SUL S.A.;027243;ITR;157000;2026-05-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157000
43.776.517/0001-80;2026-03-31;1;CIA SANEAMENTO BASICO EST SAO PAULO;014443;ITR;156904;2026-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156904
43.948.405/0001-69;2026-03-31;1;LUPO S.A.;026506;ITR;157202;2026-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157202
44.067.725/0001-72;2026-03-31;1;VIA BRASIL BR 163 CONCESSIONÁRIA DE RODOVIAS S.A.;026913;ITR;157901;2026-05-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157901
44.319.688/0001-42;2026-03-31;1;CONCESSIONÁRIA DO SISTEMA RODOVIÁRIO RIO-SÃO PAULO S.A;027421;ITR;157168;2026-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157168
44.854.238/0001-50;2026-03-31;1;PARSAN S.A.;027448;ITR;157114;2026-05-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157114
45.242.914/0001-05;2026-03-31;1;C&A MODAS S.A.;024848;ITR;156642;2026-05-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156642
45.365.558/0001-09;2026-03-31;1;VITTIA S.A.;025763;ITR;157449;2026-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157449
45.453.214/0001-51;2026-03-31;1;PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;020346;ITR;156776;2026-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156776
45.453.214/0001-51;2026-06-30;1;PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;020346;ITR;159788;2026-07-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=159788
45.456.117/0001-12;2026-03-31;1;ÁGUAS DO SERTÃO S.A.;027359;ITR;157560;2026-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157560
45.736.131/0001-70;2026-03-31;1;UNIDAS LOCADORA S.A.;027162;ITR;157111;2026-05-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157111
45.987.245/0001-92;2026-03-31;1;BIOMA EDUCAÇÃO S.A.;000701;ITR;157322;2026-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157322
46.119.855/0001-37;2026-03-31;1;SOCIEDADE ABASTECIMENTO DE ÁGUA E SANEAMENTO S.A - SANASA;016241;ITR;157559;2026-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157559
